Razão social,CNPJ,Classificação
ROMAFILM IND E COM DE PLASTICOS LTD,01.133.282/0001-68,Consumidor Especial
ROMAGNOLE PRODUTOS ELETRICOS S.A,78.958.717/0001-38,Consumidor Especial
ROMANI SA INDUSTRIA E COMERCIO DE SA,76.491.836/0001-06,Consumidor Especial
ROMAPACK IMPORTACAO| EXPORTACAO E INDUSTRIA DE EMBALAGENS LTDA,04.798.581/0001-00,Consumidor Especial
M. ROMATEX TEXTIL LTDA,96.338.330/0001-60,Consumidor Especial
ROMAVIDA BENEFICIAMENTO DE PLASTICOS LTDA,11.748.034/0001-85,Consumidor Especial
ROMETAL COMPONENTES PARA MOVEIS LTD,06.925.691/0001-10,Consumidor Especial
ROMPLAS INDUSTRIA E COMERCIO DE LAMINADOS PLASTICOS LTD,10.193.702/0001-92,Consumidor Especial
RONA EDITORA LTDA,19.270.206/0001-60,Consumidor Especial
"RONDELI &amp, RONDELLI LTDA",01.993.183/0001-56,Consumidor Especial
RONDELLI COMERCIO E TRANSPORTE LTD,06.353.864/0001-73,Consumidor Especial
ASSOCIACAO DOS LOJISTAS DO RONDON PLAZA SHOPPIN,04.499.099/0001-79,Consumidor Especial
RONDOPAR ENERGIA ACUMULADA LTD,76.466.929/0001-72,Consumidor Especial
ROOT BRASIL AGRONEGOCIOS S/A,13.191.431/0002-05,Consumidor Especial
ROSE PLASTIC BRASIL EMBALAGENS PLASTICAS LTDA,00.603.666/0001-34,Consumidor Especial
ROSIL EMBALAGENS PLÁSTICAS EIREL,43.871.946/0001-36,Consumidor Especial
ROSINA ALIMENTOS EIRELI,04.253.854/0001-30,Consumidor Especial
ROSINA PORTAS LTDA,03.839.383/0001-84,Consumidor Especial
ROSSET ARTES GRAFICAS E EDITORA S.,57.593.832/0001-86,Consumidor Especial
ROSSETTI EQUIPAMENTOS RODOVIARIOS LTD,59.884.502/0003-37,Consumidor Especial
ROSSETTI EQUIPAMENTOS RODOVIARIOS LTD,59.884.502/0001-75,Consumidor Especial
TEXTIL ROSSIGNOLO LTDA,54.635.354/0001-31,Consumidor Especial
FIACAO ROSSIGNOLO LTDA,14.009.152/0001-60,Consumidor Especial
ROTA INDUSTRIA GRAFICA LTDA,04.833.443/0001-14,Consumidor Especial
IND. E COM. DE CONFECCOES XAVIER LTD,01.611.925/0002-12,Consumidor Especial
INDUSTRIAL METALURGICA ROTAMIL  EIREL,73.695.595/0001-10,Consumidor Especial
ROTOPLAST INDUSTRIA DE CLIMATIZADORES LTD,09.176.237/0001-00,Consumidor Especial
ROTSOL INDUSTRIA DE PLASTICOS LTDA,08.960.211/0001-88,Consumidor Especial
ROTTANI INDUSTRIA COMERCIO E EXPORTACAO DE MADEIRAS LTD,81.410.920/0001-80,Consumidor Especial
ROUSSELOT GELATINAS DO BRASIL LTD,06.538.082/0001-09,Consumidor Especial
ROVITEX IND E COM DE MALHAS LTD,79.233.672/0001-05,Consumidor Especial
HOTEIS ROYAL PALM PLAZA LTDA.,46.134.425/0001-94,Consumidor Especial
ROYAL CANIN DO BRASIL INDUSTRIA E COMERCIO LTD,62.527.619/0001-06,Consumidor Especial
ROYAL CICLO INDUSTRIA DE COMPONENTES LTD,00.637.261/0001-17,Consumidor Especial
ROYAL OLIMPIA ADMINISTRADORA HOTELEIRA E PARTICIPACOES LTDA,20.938.818/0001-67,Consumidor Especial
ROYAL PLAZA EMPREENDIMENTOS S/,09.208.399/0001-75,Consumidor Especial
BHG IMOBILIARIA HOTELARIA E TURISMO S/,33.957.796/0004-77,Consumidor Especial
CONSTRUTORA F.ROZENTAL LTDA,28.835.700/0001-15,Consumidor Especial
R P C ADMINISTRADORA DE IMOVEIS EIREL,25.206.342/0001-93,Consumidor Especial
RR SHOES COMERCIO E FABRICACAO DE CALCADOS - EIREL,08.741.899/0001-05,Consumidor Especial
RSTUPA INDUSTRIA DE PLASTICOS LTD,94.859.949/0001-95,Consumidor Especial
RT043 MINERACAO LTDA.,32.968.013/0001-45,Consumidor Especial
RTK LAMINACAO DE METAIS LTDA,47.087.721/0001-44,Consumidor Especial
RUBBERLOSS INDUSTRIA DE CALCADOS E COMPONENTES LTD,07.861.712/0001-44,Consumidor Especial
RUBBERLOSS INDUSTRIA DE CALCADOS E COMPONENTES LTD,07.861.712/0002-25,Consumidor Especial
RUBBER NEW PRODUTOS DE BORRACHA LTD,80.332.778/0001-37,Consumidor Especial
RUBBERON INDUSTRIA| COMERCIO| IMPORTACAO E EXPORTACAO EIREL,09.641.540/0005-52,Consumidor Especial
RUBIFRUT AGROINDUSTRIAL LTDA,91.349.183/0001-00,Consumidor Especial
INDUSTRIA METALURGICA RUBIZZA LTD,94.550.910/0001-91,Consumidor Especial
RUD CORRENTES INDUSTRIAIS LTD,89.519.706/0001-78,Consumidor Especial
MOVEIS RUDNICK S A,86.046.612/0001-30,Consumidor Especial
RUDNICK MINERIOS LTDA.,83.179.093/0001-90,Consumidor Especial
RUDOLF-SIZING AMIDOS DO BRASIL LTDA,53.420.477/0001-92,Consumidor Especial
RUDOLPH USINADOS S/A,02.839.894/0001-33,Consumidor Especial
RUHRPUMPEN DO BRASIL INDUSTRIA E COMERCIO DE BOMBAS HIDRAULICAS LTDA,11.341.399/0002-71,Consumidor Especial
RUMO MALHA PAULISTA S.A.,02.502.844/0001-66,Consumidor Especial
RUMO MALHA SUL S.A,01.258.944/0001-26,Consumidor Especial
ELEVACOES PORTUARIAS S.A,25.278.404/0001-72,Consumidor Especial
RUMO S.A,02.387.241/0001-60,Consumidor Especial
RUPLAST INDUSTRIA E COMERCIO LTD,05.559.838/0001-33,Consumidor Especial
RUSTON ALIMENTOS LTDA,46.686.465/0001-49,Consumidor Especial
R.V. IMOLA TRANSPORTES E LOGISTICA LTD,05.366.444/0001-69,Consumidor Especial
INDUSTRIA E COMERCIO DE MALHAS RVB LTD,83.203.992/0001-81,Consumidor Especial
CONDOMINIO SHOPPING JARDIM SU,64.032.790/0001-70,Consumidor Especial
J MARTINS SUPERMERCADOS PLANALTO LTD,76.361.807/0001-11,Consumidor Especial
S A MOAGEIRA E AGRICOLA,78.143.146/0001-83,Consumidor Especial
SAARGUMMI DO BRASIL LTDA,03.488.562/0001-14,Consumidor Especial
SABAF DO BRASIL LTDA,02.528.634/0001-47,Consumidor Especial
LABORATORIO SABIN DE ANALISES CLINICAS S.A,00.718.528/0001-09,Consumidor Especial
PONTO BOM INDUSTRIA DE PRODUTOS ALIMENTICIOS LTD,01.013.406/0001-71,Consumidor Especial
INTERDESIGN MOVEIS LTDA,88.614.938/0001-42,Consumidor Especial
HOSPITAL DE OLHOS SADALLA AMIN GHANEM LTD,00.750.846/0001-49,Consumidor Especial
SAE TOWERS BRASIL TORRES DE TRANSMISSAO LTD,07.758.028/0001-31,Consumidor Especial
SAFETLINE EQUIPAMENTOS DE SEGURANCA LTD,45.750.411/0001-32,Consumidor Especial
SAFM MINERACAO LTDA,09.325.670/0001-52,Consumidor Especial
SAFRAN HELICOPTER ENGINES INDUSTRIA E COMERCIO DO BRASIL LTD,48.090.120/0001-53,Consumidor Especial
SAFRIO LOGISTICA LTDA,32.914.213/0001-15,Consumidor Especial
CARTONAGEM SAFT LTDA,97.748.917/0001-00,Consumidor Especial
SAGA MEDICAO LTDA,08.026.075/0001-53,Consumidor Especial
SAGE BRASIL INTERIORES AUTOMOTIVOS INDUSTRIA E COMERCIO LTDA,11.006.489/0002-06,Consumidor Especial
SAINT GERMAIN VIDROS LTDA,31.530.074/0001-63,Consumidor Especial
SAINT LUIGER PROCESSADORA DE ALIMENTOS LTD,00.177.693/0001-92,Consumidor Especial
SAKURA TECH BRASIL FERRAMENTARIA E MOLDAGEM PLASTICA EIREL,13.233.468/0001-78,Consumidor Especial
SALCOMP INDUSTRIAL ELETRONICA DA AMAZONIA LTD,07.637.620/0001-85,Consumidor Especial
SALINOR - SALINAS DO NORDESTE S.A,03.994.427/0001-40,Consumidor Especial
COMERCIAL SALOMAO LTDA,45.517.083/0001-29,Consumidor Especial
"WAISWOL &amp, WAISWOL LTDA",60.620.606/0001-51,Consumidor Especial
VINICOLA SALTON S.A.,87.547.428/0001-37,Consumidor Especial
SALTON INDUSTRIA DE VIDROS LTD,89.291.850/0001-08,Consumidor Especial
SALTORELLI JEANSWEAR LTDA,23.203.837/0001-33,Consumidor Especial
SALVADOR LOGISTICA E TRANSPORTES LTD,07.452.156/0001-52,Consumidor Especial
SALVARO INDUSTRIA E COMERCIO DE MADEIRA LTD,80.142.250/0001-03,Consumidor Especial
SAMA SANTA MARTA SIDERURGIA LTD,19.881.671/0001-37,Consumidor Especial
SAMACA BENEFICIAMENTOS E PROCESSAMENTOS LTD,31.851.315/0001-76,Consumidor Especial
SAMARIA RACOES E NUTRICAO ANIMAL LTD,32.972.772/0001-81,Consumidor Especial
ASSOCIACAO EVANGELICA BENEFICENTE DE CAMPINA,44.593.523/0001-64,Consumidor Especial
SAMBA TOYS - INDUSTRIA| DISTRIBUIDORA E IMPORTADORA LTD,11.880.019/0003-58,Consumidor Especial
INDUSTRIA MECANICA SAMOT LTDA,56.912.124/0001-06,Consumidor Especial
SAMP - CONSTRUTORA DE OBRAS LTD,02.810.894/0001-00,Consumidor Especial
SAMPEL INDUSTRIA E COMERCIO DE PECAS AUTOMOTIVAS LTD,61.215.646/0001-80,Consumidor Especial
SAMSUNG ELETRONICA DA AMAZONIA LTD,00.280.273/0002-18,Consumidor Especial
SAN MARCOS REVESTIMENTOS CERAMICOS LTD,03.952.525/0001-15,Consumidor Especial
SAN MARCOS REVESTIMENTOS CERAMICOS LTD,03.952.525/0003-87,Consumidor Especial
SAN MARINO MOVEIS LTDA,88.612.908/0001-05,Consumidor Especial
SANTA MONICA CLUBE DE CAMPO,75.031.278/0001-25,Consumidor Especial
SANCHEZ CANO LTDA,03.594.123/0001-96,Consumidor Especial
SANCRIS LINHAS E FIOS LTDA,80.446.990/0001-25,Consumidor Especial
SANDENE S.A. INDUSTRIA E COMERCIO,08.365.633/0001-05,Consumidor Especial
SANDMIX MINERACAO LTDA,13.364.860/0002-37,Consumidor Especial
SANDOZ DO BRASIL INDUSTRIA FARMACEUTICA LTDA,61.286.647/0001-16,Consumidor Especial
SANEJ - SANEAMENTO DE JAU LTD,03.708.169/0001-99,Consumidor Especial
SANEN ENGENHARIA LTDA EM RECUPERACAO JUDICIA,06.249.465/0001-67,Consumidor Especial
SERVICO AUTONOMO DE SANEAMENTO DE PELOTA,92.220.862/0001-48,Consumidor Especial
SANES BRASIL AGROINDUSTRIAL LTD,03.718.276/0001-06,Consumidor Especial
SANJO COOPERATIVA AGRICOLA DE SAO JOAQUI,01.587.541/0001-20,Consumidor Especial
MAQUINAS SANMARTIN LTDA,89.086.672/0001-75,Consumidor Especial
SANMINA-SCI DO BRASIL INTEGRATION LTD,01.498.525/0001-61,Consumidor Especial
SANOVO GREENPACK EMBALAGENS DO BRASIL LTD,61.585.931/0001-93,Consumidor Especial
SANPACK INDUSTRIA E COMERCIO DE PLASTICOS LTD,06.059.290/0001-25,Consumidor Especial
SHOPPING CAXIAS EMPREENDIMENTOS IMOBILIARIOS LTDA,09.050.227/0001-16,Consumidor Especial
SANPET INDUSTRIA E COMERCIO DE PLASTICOS LTD,85.394.625/0001-38,Consumidor Especial
SANPLAST INDUSTRIA DE PLASTICOS LTD,82.999.558/0001-97,Consumidor Especial
SANREMO S/A,89.738.173/0001-15,Consumidor Especial
CIA SIDERURGICA SANTA BARBARA,04.765.856/0001-09,Consumidor Especial
SANTA CASA DE MISERICORDIA DA BAHI,15.153.745/0001-68,Consumidor Especial
IRMANDADE DA SANTA CASA DE MISERICORDIA DE SANTO,58.198.524/0001-19,Consumidor Especial
SANTA CASA DE MISERICORDIA DE SOBRA,07.818.313/0001-09,Consumidor Especial
SANTA CASA DE MISERICORDIA DE PRESIDENTE PRUDENT,55.344.337/0001-08,Consumidor Especial
SANTA CASA DE MISERICORDIA DE SAO MIGUEL DOS CAMPO,12.737.680/0001-00,Consumidor Especial
IRMANDADE DA SANTA CASA DE MISERICORDIA DE VITORI,28.141.190/0001-86,Consumidor Especial
SANTA CLARA INDUSTRIA DE PASTA E PAPEL LTD,77.883.189/0001-32,Consumidor Especial
SANTA CLARA MANUFATURA E COSMETICOS LTD,57.407.397/0001-58,Consumidor Especial
SANTA EDWIGES INDUSTRIA E COMERCIO DE RESIDUOS ORGANICOS DE JUINA LTD,10.532.123/0001-27,Consumidor Especial
SANTA HELENA INDUSTRIA DE ALIMENTOS S/,45.256.997/0001-83,Consumidor Especial
INDUSTRIA DE EMBALAGENS SANTA INES S.A,61.602.033/0001-04,Consumidor Especial
SANTA IZABEL AGRO INDUSTRIA LTD,26.748.019/0001-04,Consumidor Especial
HOSPITAL SANTA LUCIA S/A,00.025.841/0001-53,Consumidor Especial
DESDOBRAMENTO DE MADEIRAS SANTA LUCIA LTD,79.381.497/0001-95,Consumidor Especial
FABRICA DE TECIDOS SANTA MARGARIDA S/,20.739.249/0001-20,Consumidor Especial
INDUSTRIA E COMERCIO SANTA MARIA LTD,49.211.717/0001-71,Consumidor Especial
GRAFICA SANTA MARTA LTDA,09.098.419/0001-00,Consumidor Especial
CASA DE SAUDE E MATERNIDADE SANTA MARTHA S,30.079.461/0001-62,Consumidor Especial
PRODUTOS  ALIMENTICIOS CEFER LTD,55.895.031/0001-40,Consumidor Especial
SANTA RITA CRISTAIS TEMPERADOS LTD,01.711.036/0001-46,Consumidor Especial
EMPRESA DE MINERACAO SANTA ROSA LTD,18.761.122/0001-66,Consumidor Especial
TECHLAV - TECNOLOGIA LAVAGEM E ESTERILIZACAO S/,10.768.129/0001-06,Consumidor Especial
IRMANDADE DA SANTA CASA DE MISERICORDIA DE PIRACICAB,54.370.630/0001-87,Consumidor Especial
SANTACONSTANCIA TECELAGEM LTDA,61.105.474/0001-92,Consumidor Especial
SANTALUCIA ALIMENTOS LTDA,90.471.798/0004-95,Consumidor Especial
SANTAMATE INDUSTRIA E COMERCIO LTD,01.706.643/0001-18,Consumidor Especial
COMPANHIA TECIDOS SANTANENSE,21.255.567/0001-89,Consumidor Especial
EMPRESA DE MINERACAO DE AGUAS SANT'ANNA LTD,04.574.135/0002-00,Consumidor Especial
SANTENO IRRIGACOES DO NORDESTE LTD,16.400.178/0001-60,Consumidor Especial
"SANTIAGO &amp, CIA. LTDA.",17.188.590/0001-20,Consumidor Especial
MINERACAO MORRO DO SINO LTDA,16.532.772/0001-04,Consumidor Especial
MINERACAO SANTIAGO LTDA,64.210.875/0001-09,Consumidor Especial
SANTINELLI INDUSTRIA DE CALCADOS EIREL,10.274.782/0001-00,Consumidor Especial
"RICARDO M SANTINI &amp, CIA LTD",02.560.932/0001-14,Consumidor Especial
CERAMICA SANTO ANDRE LTDA,33.006.073/0001-40,Consumidor Especial
SANTO ANTONIO GRANITOS LTDA,27.188.739/0001-25,Consumidor Especial
SANTO COMERCIO E IMPORTACAO DE PRODUTOS ALIMENTICIOS LTD,50.368.976/0001-90,Consumidor Especial
SANTOS ANDIRA INDUSTRIA DE MOVEIS LTD,75.205.831/0001-07,Consumidor Especial
SANTOS BRASIL LOGISTICA S.A.,58.180.316/0001-92,Consumidor Especial
SANTOS FUTEBOL CLUBE,58.196.684/0001-29,Consumidor Especial
SANTUARIO NACIONAL DE NOSSA SENHORA DA CONCEICAO APARECID,02.825.033/0001-04,Consumidor Especial
ASSOCIACAO DE BENEFICENCIA E FILANTROPIA SAO CRISTOVA,60.975.174/0001-00,Consumidor Especial
SAO FRANCISCO GRAFICA E EDITORA LTD,49.234.487/0001-66,Consumidor Especial
SAO GABRIEL SANEAMENTO S.A,15.186.494/0001-18,Consumidor Especial
SAO JOANENSE TEXTIL LTDA.,21.842.729/0001-85,Consumidor Especial
SAO JOAO ALIMENTOS LTDA,56.814.395/0001-10,Consumidor Especial
PEDREIRA SAO JORGE LTDA,76.485.408/0001-62,Consumidor Especial
"GERALDO N RECKTENWALD &amp, CIA LTD",08.201.347/0001-04,Consumidor Especial
MINERACAO SAO JUDAS LTDA,43.363.381/0001-86,Consumidor Especial
CENTRO DE ENSINO SAO LUCAS LTD,84.596.170/0001-70,Consumidor Especial
COMERCIAL SAO TORQUATO SUPERMERCADOS EIREL,04.473.293/0001-85,Consumidor Especial
SAO CARLOS S/A INDUSTRIA DE PAPEL E EMBALAGEN,59.596.619/0001-53,Consumidor Especial
SAO FRANCISCO TEXTIL S/A,02.710.680/0001-62,Consumidor Especial
S A FABRICA DE TECIDOS SAO JOAO EVANGELIST,21.555.008/0001-94,Consumidor Especial
SAP BRASIL LTDA,74.544.297/0001-92,Consumidor Especial
HYDRO EXTRUSION BRASIL S/A,50.155.134/0001-50,Consumidor Especial
FRIGORIFICO SAPE LTDA,97.164.834/0001-74,Consumidor Especial
FABRICA DE PAPEL DA BAHIA S,15.120.066/0005-16,Consumidor Especial
ASSOCIACAO DAS PIONEIRAS SOCIAIS,37.113.180/0001-28,Consumidor Especial
SARAIVA E SICILIANO S.A. - EM RECUPERACAO JUDICIA,61.365.284/0001-04,Consumidor Especial
GRAFICA E EDITORA SARAPUI LTD,63.106.249/0001-04,Consumidor Especial
SARKIS MINERACAO LTDA,03.163.210/0001-99,Consumidor Especial
SARTRE EMPREENDIMENTOS EDUCACIONAIS LTD,15.236.367/0001-86,Consumidor Especial
SAS - SOCIEDADE ADMINISTRADORA DE CENTROS COMERCIAIS S.A,03.969.764/0001-88,Consumidor Especial
SASAZAKI INDUSTRIA E COMERCIO LTDA,52.045.697/0001-10,Consumidor Especial
SATA BRASIL LTDA,51.835.007/0001-64,Consumidor Especial
ASSOCIACAO BENEFICENTE DA INDUSTRIA CARBONIFERA DE SANTA CATARINA (SATC,83.649.830/0001-71,Consumidor Especial
SATEL DE SANTOS TRANSPORTES LTD,05.700.665/0001-21,Consumidor Especial
CERAMICA SATURNO LTDA,48.201.917/0001-80,Consumidor Especial
CERAMICA SAVANE LTDA,74.562.745/0001-80,Consumidor Especial
CONDOMINIO DO EDIFICIO SAVASSI MALL II - TOWE,23.034.826/0001-77,Consumidor Especial
SAVEGNAGO-SUPERMERCADOS LTDA,71.322.150/0001-60,Consumidor Especial
SAVIPLAST INDUSTRIA E COMERCIO DE PLASTICOS EIREL,88.305.719/0001-81,Consumidor Especial
RENNER SAYERLACK S/A,61.142.865/0006-91,Consumidor Especial
MAQUINAS SAZI LTDA,90.064.288/0001-50,Consumidor Especial
SB INDUSTRIA E COMERCIO DE PRODUTOS NATURAIS LTDA,29.982.809/0001-48,Consumidor Especial
SB MINERACAO LTDA,02.614.827/0001-10,Consumidor Especial
SOCIEDADE BIBLICA DO BRASIL,33.579.376/0001-51,Consumidor Especial
SOCIEDADE BENEFICENTE DE SENHORAS - HOSPITAL SIRIO LIBANE,61.590.410/0001-24,Consumidor Especial
SBM - SUL BRASILEIRA DE MINERACAO LTD,14.779.384/0001-05,Consumidor Especial
SBR - SUPERMERCADOS BOM RETIRO LTD,03.733.880/0001-01,Consumidor Especial
SOCIEDADE BENEFICENTE SAO CAMIL,60.975.737/0001-51,Consumidor Especial
ASSOCIACAO SHOPPING BAY MARKET CENTE,20.739.535/0001-96,Consumidor Especial
SHOPPING BOTUCATU EMPREENDIMENTOS S.A,14.245.894/0001-94,Consumidor Especial
SANTA CATARINA INDUSTRIA E COMERCIO DE COMPENSADOS LTDA,09.509.277/0001-19,Consumidor Especial
OPERADORA DE SHOPPING CENTER ELDORADO LTD,46.365.524/0001-87,Consumidor Especial
ASSOCIACAO SHOPPING HORTOLANDIA,14.586.624/0001-47,Consumidor Especial
CONDOMINIO DO SHOPPING PRACA DA MOC,09.281.025/0001-85,Consumidor Especial
ASSOCIACAO SHOPPING VALINHOS,09.213.967/0001-26,Consumidor Especial
SCA-INDUSTRIA DE MOVEIS LTDA,87.552.170/0001-67,Consumidor Especial
SCALLA CERAMICA ARTISTICA LTD,56.520.703/0001-03,Consumidor Especial
SCANCOM DO BRASIL LTDA,05.089.265/0001-21,Consumidor Especial
SOCIEDADE ANONIMA FABRIL SCAVONE,50.115.849/0001-89,Consumidor Especial
"SCHEFFER &amp, CIA LTDA",04.733.767/0014-03,Consumidor Especial
SCHELL DISTRIBUIDORA DE RESINAS EIREL,06.330.859/0001-45,Consumidor Especial
FRIGORIFICO RIO PARDINHO LTDA,89.140.388/0001-30,Consumidor Especial
SCHERING DO BRASIL QUIMICA E FARMACEUTICA LTDA,56.990.534/0001-67,Consumidor Especial
AGROPECUARIA SCHIO LTDA,91.501.783/0008-19,Consumidor Especial
SCHIO CEREAIS IMPORTACAO E EXPORTACAO LTD,55.509.582/0001-28,Consumidor Especial
SCHLUMBERGER SERVICOS DE PETROLEO LTD,32.319.931/0028-63,Consumidor Especial
SCHMITZ AGROINDUSTRIAL LTDA,95.803.375/0001-04,Consumidor Especial
SCHNEIDER ELECTRIC BRASIL LTD,82.743.287/0001-04,Consumidor Especial
SCHOELER RACOES LTDA,35.670.099/0001-13,Consumidor Especial
SCHOLLE LTDA,04.059.495/0001-85,Consumidor Especial
SCHOTT BRASIL LTDA,33.144.437/0005-81,Consumidor Especial
SCHOTT BRASIL LTDA,33.144.437/0007-43,Consumidor Especial
BULK MOLDING COMPOUNDS DO BRASIL INDUSTRIA DE PLASTICOS REFORCADOS LTD,02.034.743/0001-08,Consumidor Especial
SCHUTZ VASITEX INDUSTRIA DE EMBALAGENS LTD,06.255.543/0001-36,Consumidor Especial
SCHWAN COSMETICS DO BRASIL LTD,04.842.546/0001-40,Consumidor Especial
SCHWANKE INDUSTRIAL LTDA,82.639.477/0001-86,Consumidor Especial
METALURGICA SCHWARZ S/A,72.242.621/0001-92,Consumidor Especial
CONDOMINIO DO SHOPPING CENTER LIMEIR,32.653.194/0001-10,Consumidor Especial
SCREW - INDUSTRIA METALMECANICA EIREL,00.397.908/0001-80,Consumidor Especial
SCROCCARO COMERCIO DE MADEIRAS LTD,07.049.396/0001-00,Consumidor Especial
SD SIDERURGICA DIVINOPOLIS EIREL,33.753.124/0001-05,Consumidor Especial
SDB COMERCIO DE ALIMENTOS LTD,09.477.652/0001-96,Consumidor Especial
SEAN COUROS LTDA,90.329.178/0001-73,Consumidor Especial
SEAR - SOCIEDADE EDUCACIONAL DO ARAGUAIA LTD,00.965.087/0001-31,Consumidor Especial
SEARA INDUSTRIA E COMERCIO DE PRODUTOS AGROPECUARIOS LTDA EM RECUPERACAO JUDICIA,75.739.086/0001-78,Consumidor Especial
SEARA COMERCIO DE ALIMENTOS LTD,83.044.016/0030-68,Consumidor Especial
SEB SISTEMA EDUCACIONAL BRASILEIRO S.A,56.012.628/0001-61,Consumidor Especial
SEBO HIDROLANDIA INDUSTRIA E COMERCIO DE PRODUTOS ANIMAIS LTD,08.596.902/0001-44,Consumidor Especial
SEBO JALES INDUSTRIA E COMERCIO DE PRODUTOS ANIMAIS LT,60.995.891/0001-95,Consumidor Especial
SEBO MARIENSE LTDA.,03.119.115/0001-98,Consumidor Especial
SEBO PARANAENSE LTDA,22.066.791/0001-95,Consumidor Especial
SEBO SOL INDUSTRIA DE SUB PRODUTOS DE BOVINOS LTD,07.330.898/0001-05,Consumidor Especial
SEBO TANGARA LTDA,07.742.285/0001-85,Consumidor Especial
SEBO VARZEA GRANDE INDUSTRIA E COMERCIO DE PRODUTOS ANIMAIS LTD,11.392.754/0001-50,Consumidor Especial
SEBO JI-PARANA INDUSTRIA E COMERCIO DE PRODUTOS ANIMAIS LTD,11.181.903/0001-32,Consumidor Especial
FIACAO DE SEDA BRATAC S A,61.080.735/0002-48,Consumidor Especial
SEDER INDUSTRIA E COMERCIO DE MOVEIS LTD,59.738.740/0001-72,Consumidor Especial
SEFAR - INDUSTRIA E COMERCIO DE FARINHA E SEBO LTD,05.327.858/0001-89,Consumidor Especial
SEG AUTOMOTIVE COMPONENTS BRAZIL LTDA,24.649.652/0001-10,Consumidor Especial
SEGALAS ALIMENTOS LTDA.,01.333.984/0001-95,Consumidor Especial
SEGMENT PRODUTOS OFTALMICOS LTD,56.227.929/0001-02,Consumidor Especial
SEIREN PRODUTOS AUTOMOTIVOS LTD,02.029.581/0001-10,Consumidor Especial
SEIVAL SUL MINERACAO S.A,04.527.315/0002-23,Consumidor Especial
SELENE INDUSTRIA TEXTIL S,47.254.545/0001-98,Consumidor Especial
SELF IT ACADEMIAS HOLDING S.A,22.902.694/0001-95,Consumidor Especial
COOPERATIVA DE LATICINIOS SELIT,27.178.359/0001-00,Consumidor Especial
SEMALO INDUSTRIA E COMERCIO DE ALIMENTOS LTD,36.804.268/0001-23,Consumidor Especial
SEMEGRAO COMERCIAL AGRICOLA LTD,12.320.940/0001-47,Consumidor Especial
SEMENTES GOIAS LTDA,03.482.332/0001-48,Consumidor Especial
E. ORLANDO ROOS COMERCIO DE CEREAIS LTD,91.494.765/0001-80,Consumidor Especial
SEMPRE EDITORA LTDA,26.198.515/0004-84,Consumidor Especial
SERVICO NACIONAL DE APRENDIZAGEM INDUSTRIAL - DEPARTAMENTO REGIONAL DE MINAS GERAI,03.773.700/0001-07,Consumidor Especial
SERVICO NACIONAL DE APRENDIZAGEM INDUSTRIAL SENA,03.848.688/0001-52,Consumidor Especial
SERVICO NACIONAL DE APRENDIZAGEM INDUSTRIAL-SENA,03.775.069/0001-85,Consumidor Especial
SENDAS DISTRIBUIDORA S/A,06.057.223/0001-71,Consumidor Especial
SENGES PAPEL E CELULOSE LTDA,43.014.521/0001-00,Consumidor Especial
SENIOR SISTEMAS S/A,80.680.093/0001-81,Consumidor Especial
SENIR EMBALAGENS LTDA,05.953.723/0001-29,Consumidor Especial
SENPAR TERRAS DE SAO JOSE EMPREENDIMENTOS TURISTICOS L,50.363.803/0007-74,Consumidor Especial
EDIFICIO SENSE II APART HOTEL,14.937.046/0001-46,Consumidor Especial
SEOYON E-HWA FABRICACAO DE SISTEMA INTERIOR AUTOMOTIVO BRASIL LTD,11.482.614/0001-73,Consumidor Especial
SEOYON INTECH FABRICACAO DE SISTEMA INTERIOR AUTOMOTIVO BRASIL LTD,07.385.124/0001-81,Consumidor Especial
SEQUOIA LOGISTICA E TRANSPORTES S.A,01.599.101/0001-93,Consumidor Especial
SER EDUCACIONAL S.A.,04.986.320/0001-13,Consumidor Especial
SERBOM ARMAZENS GERAIS FRIGORIFICOS LTD,01.628.604/0001-40,Consumidor Especial
SERCOM LTDA.,86.984.481/0003-02,Consumidor Especial
CONDOMINIO DO EDIFICIO SERENA MAL,08.078.317/0001-52,Consumidor Especial
FRIGORIFICO UNIBEEF EIRELI,29.091.869/0001-70,Consumidor Especial
SERGYENE INDUSTRIA E COMERCIO LTD,01.478.812/0001-00,Consumidor Especial
SERHS BRASIL EMPREENDIMENTOS TURISTICOS LTD,09.374.554/0001-23,Consumidor Especial
SERMAFRIL SERVICOS DE MANUTENCAO| LOCACAO| EMPACOTAMENTO DE ALIMENTOS E USINAGEM LTD,01.865.585/0001-75,Consumidor Especial
SERPIL MOVEIS LTDA,79.807.350/0001-14,Consumidor Especial
AMBIENTAL SERRA CONCESSIONARIA DE SANEAMENTO S.,19.688.648/0001-20,Consumidor Especial
CERAMICA SERRA AZUL LTDA,07.378.783/0001-90,Consumidor Especial
MINERACAO DE CALCARIO MONTIVIDIU LTD,02.174.951/0005-36,Consumidor Especial
MINERACAO SERRA DOURADA LTDA,05.520.594/0001-85,Consumidor Especial
SERRAFRUTAS COMERCIO E LOGISTICA LTD,12.987.729/0001-82,Consumidor Especial
SERRAMAD INDUSTRIA E COMERCIO DE MADEIRAS LTD,18.274.424/0001-00,Consumidor Especial
COOPERATIVA DE LATICINIOS SERRAMA,48.541.510/0001-00,Consumidor Especial
SERRANA INDUSTRIA DE BEBIDAS LTD,05.754.843/0001-05,Consumidor Especial
