RAZAO,CNPJ,NOME_FANTASIA,DATA_ABERTURA,CNAE,DESCRICAO_CNAE,NATUREZA_JURIDICA,DESCRICAO_NATUREZA_JURIDICA,TIPO,TITULO,LOGRADOURO,NUMERO,COMPLEMENTO,ENDERECO,BAIRRO,CIDADE,UF,CEP,DDD1,FONE1,DDD2,FONE2,SITUACAO_CADASTRAL,MATRIZ,PORTE,FATURAMENTO_PRESUMIDO_ANUAL,QTD_PROPRIETARIO,QTD_FUNCIONARIOS
CIFA FIOS E LINHAS LTDA, 43.461.698/0001-55,,10/08/1966,1313800,Fiação de fibras artificiais e sintéticas,2062,Sociedade Empresária Limitada ,AVENIDA,,FRANCISCO MORATO DE OLIVEIRA,833,,AV FRANCISCO MORATO DE OLIVEIRA 833,JARDIM BRASIL,AMPARO,SP,13902265,19,38087786,19,998400188,ATIVA,1,MÉDIA,12125000,2,743
BRASIPLA INDUSTRIA E COMERCIO LTDA, 01.225.953/0001-10,,27/05/1996,2229303,Fabricação de artefatos de material plástico para uso na construção| exceto tubos e acessórios,2062,Sociedade Empresária Limitada ,RODOVIA,,SC 446,,KM 7 1881 PAVILHAO,ROD SC 446 KM 7 1881 PAVILHAO,PALMEIRA DO MEIO,URUSSANGA,SC,88840000,48,991231948,48,999547098,ATIVA,1,MÉDIA,2600000,2,80
DAIRY PARTNERS AMERICAS BRASIL LTDA., 05.300.331/0002-41,,06/09/2002,1052000,Fabricação de laticínios,2062,Sociedade Empresária Limitada ,PRACA,BARAO,DE ARARAS,655,,PC BR DE ARARAS 655,CENTRO,ARARAS,SP,13600040,44,999872817,11,55089379,ATIVA,0,MÉDIA,12125000,9,1774
HOTEL FASANO VIEIRA SOUTO, 08.707.284/0001-62,,21/12/2006,8112500,Condomínios prediais,3085,Condomínio Edilício ,RUA,,JOAQUIM NABUCO,276,,RUA JOAQUIM NABUCO 276,COPACABANA,RIO DE JANEIRO,RJ,22080030,21,995576413,21,997599009,ATIVA,1,PEQUENA,1650000,,480
CIPLAN CIMENTO PLANALTO SA, 00.057.240/0001-22,CIPLAN SA,02/12/1969,2320600,Fabricação de cimento,2054,Sociedade Anônima Fechada ,CONDOMINIO,,VALE DO SOL,,KM 2 7 ROD DF 205,COND VALE DO SOL KM 2 7 ROD DF 205,SOBRADINHO,BRASILIA,DF,73070043,64,999986503,17,997242835,ATIVA,1,GRANDE,640000000,5,1224
COOPERATIVA AGROINDUSTRIAL COOPERJA, 85.667.947/0001-03,COOPERJA,04/12/1969,1061901,Beneficiamento de arroz,2143,Cooperativa ,RUA,,DJOAQUIM PEDRO COELHO,3,,DJOAQUIM PEDRO COELHO,,JACINTO MACHADO,SC,88950000,48,35356000,51,994538172,ATIVA,1,GRANDE,550000000,9,204
ABBASPEL INDUSTRIA E COMERCIO DE PAPEIS LTDA., 04.490.046/0001-97,ABBASPEL INDUSTRIA E COMERCIO DE PAPEIS,05/06/2001,1749400,Fabricação de produtos de pastas celulósicas| papel| cartolina| papel-cartão e papelão ondulado não ,2062,Sociedade Empresária Limitada ,RUA,,JOSE ELIPHIO DA CUNHA SILVEIRA,50,,R JOSE ELIPHIO DA CUNHA SILVEIRA 50,AREA INDUSTRIAL,PORTO UNIAO,SC,89400000,49,35217300,49,35217326,ATIVA,1,GRANDE,56700000,5,220
BELAPAN INDUSTRIA E COMERCIO DE ALIMENTOS EIRELI, 08.868.097/0001-60,EUROPAN INDUSTRIA E COMERCIO DE ALIMENTOS,06/06/2007,1091101,Fabricação de produtos de panificação industrial,2305,Empresa individual de responsabilidade limitada (de Natureza Empresária),RODOVIA,,BR 471,800,X,ROD BR 471 800 X,X,RIO PARDO,RS,96640000,51,37317725,51,37313182,ATIVA,1,GRANDE,90000000,1,2024
ASSOCIACAO DO BRAGANCA GARDEN SHOPPING, 23.743.547/0001-82,,17/07/2015,9499500,Atividades associativas não especificadas anteriormente,3999,Associação Privada,RODOVIA,,DOUTOR CANDIDO RODRIGUES,,KM 53,ROD ALKINDAR MONTEIRO JUNQUEIRA SN KM 53,CENTRO,BRAGANCA PAULISTA,SP,12900970,31,25134172,31,25137550,ATIVA,1,PEQUENA,2150000,2,64
CONDOMINIO GOIANIA CORPORATE FINANCIAL CENTER, 03.532.908/0001-34,GOIANIA CORPORATE FINANCIAL CENTER,28/06/1999,8112500,Condomínios prediais,3085,Condomínio Edilício ,RUA,,11,250,QUADRA76 LOTE 02 80,RUA 11 250 QUADRA76 LOTE 02 80,SETOR CENTRAL,GOIANIA,GO,74015170,62,991048416,62,991161860,ATIVA,1,PEQUENA,1650000,,
VEDAPACK EMBALAGENS INDUSTRIAIS LTDA, 02.033.695/0001-33,VEDAPACK,31/07/1997,2222600,Fabricação de embalagens de material plástico,2062,Sociedade Empresária Limitada ,AVENIDA,BISPO DOM,JOAO DA MATA,1100,,AV BPO DOM JOAO DA MATA 1100,JARDIM CATARINA,SAO GONCALO,RJ,24715441,21,996574112,21,972877011,ATIVA,1,GRANDE,56700000,3,719
CONDUMAX - ELETRO METALURGICA CIAFUNDI LTDA, 53.224.127/0005-84,,23/11/1992,2733300,Fabricação de fios| cabos e condutores elétricos isolados,2062,Sociedade Empresária Limitada ,,,LOC ROD WILQUEM M NEVES,,KM 3 5,LOC ROD WILQUEM M NEVES SN KM 3 5,ZONA RURAL,OLIMPIA,SP,15400000,11,36750426,17,997459807,ATIVA,0,GRANDE,340000000,7,586
CORREIAS MERCURIO SA INDUSTRIA E COMERCIO, 50.937.564/0006-38,,14/11/2013,2219600,Fabricação de artefatos de borracha não especificados anteriormente,2054,Sociedade Anônima Fechada ,AREA,,RURAL,,EW -2 QUADRA I LOTES 1 2 3 4 FASE II,AREA EW-2 QUADRA I LOTES 01 02 03 04 FASE II SN,AREA RURAL DE MARABA,MARABA,PA,68513899,94,33225151,11,45886600,ATIVA,0,MÉDIA,236000000,9,184
EMBALAGENS ALLBOX LTDA, 07.570.962/0001-25,ALLBOX INDUSTRIA GRAFICA,17/08/2005,1731100,Fabricação de embalagens de papel,2062,Sociedade Empresária Limitada ,RUA,,VP 2D,2,SN QUADRA05 MOD 1 D,VLA VP 2D 2 SN QUADRA05 MOD 1 D,DISTRITO AGROINDUSTRIAL DE ANAPOLIS,ANAPOLIS,GO,75132045,33,33111186,62,40150495,ATIVA,1,MÉDIA,72000000,5,571
CITROSUCO SERVICOS PORTUARIOS S.A., 03.100.114/0001-00,SERVICOS PORTUARIOS,02/10/1998,5211799,Depósitos de mercadorias para terceiros| exceto armazéns gerais e guarda-móveis,2054,Sociedade Anônima Fechada ,AVENIDA,,EDUARDO PEREIRA GUINLE,,ARMAZEM,AV EDUARDO PEREIRA GUINLE ARMAZEM SN,DOCAS,SANTOS,SP,11013250,16,33838648,16,33838607,ATIVA,1,GRANDE,22400000,5,
I C MELO & CIA LTDA, 01.141.049/0001-27,FLAMBOYANT,15/04/1996,1052000,Fabricação de laticínios,2062,Sociedade Empresária Limitada ,AVENIDA,PRESIDENTE,GETULIO VARGAS,3767,,AV PRES GETULIO VARGAS 3767,IANETAMA,CASTANHAL,PA,68745000,91,992737771,91,992757174,ATIVA,1,GRANDE,72000000,2,866
AGRA AGROINDUSTRIAL DE ALIMENTOS SA, 24.746.687/0001-77,,30/06/1988,1011201,Frigorífico - abate de bovinos,2054,Sociedade Anônima Fechada ,AVENIDA,,ADEMAR CANDIDO COSTA,,KM 114 6,AV ADEMAR CANDIDO COSTA KM 114 6,LA SALLE II,RONDONOPOLIS,MT,78710129,66,996972517,66,996703826,ATIVA,1,GRANDE,440000000,7,2879
HAWAII GRAFICA E EDITORA LTDA, 62.773.031/0001-32,,20/04/1990,1813001,Impressão de material para uso publicitário,2062,Sociedade Empresária Limitada ,RUA,,AGUAPEI,480,,R AGUAPEI 480,SANTA MARIA,SANTO ANDRE,SP,9070090,11,42341117,11,42211746,ATIVA,1,MÉDIA,41500000,2,44
GARBONI INDUSTRIA DE PLASTICOS E MOLDES EIRELI, 31.136.401/0001-05,,20/11/1969,2222600,Fabricação de embalagens de material plástico,2305,Empresa individual de responsabilidade limitada (de Natureza Empresária),RUA,GENERAL,RONDON,1158,1240 48 NUMEROS 1158 1248,R GEN RONDON 1158 1240 48 NUMEROS 1158 1248,QUITANDINHA,PETROPOLIS,RJ,25650028,24,22376969,22,22332225,ATIVA,1,GRANDE,41500000,1,332
MASSAS DAIANA FRANCA LTDA, 01.253.958/0001-57,,10/06/1996,1094500,Fabricação de massas alimentícias,2062,Sociedade Empresária Limitada ,RUA,,GERALDO GOMES MARINHO,25,,R GERALDO GOMES MARINHO 25,VILA REZENDE,FRANCA,SP,14406374,16,37125300,16,37205479,ATIVA,1,PEQUENA,2600000,4,371
FERSUL MANUFATURADOS DE FERRO LTDA, 04.589.908/0001-33,,08/08/2001,2451200,Fundição de ferro e aço,2062,Sociedade Empresária Limitada ,RUA,,CARAMURU,575,KM 513 SN,R CARAMURU 575 KM 513 SN,CENTRO,PATO BRANCO,PR,85501970,46,988295643,46,991242302,ATIVA,1,MÉDIA,5250000,4,86
FORMAPACK EMBALAGENS PLASTICAS LTDA, 09.397.075/0001-22,FORMAPACK EMBALAGENS PLASTICAS,04/03/2008,2222600,Fabricação de embalagens de material plástico,2062,Sociedade Empresária Limitada ,AVENIDA,,ABIURANA,980,GALPAO II,AV ABIURANA 980 GALPAO II,DISTRITO INDUSTRIAL I,MANAUS,AM,69075010,92,992745708,92,991616956,ATIVA,1,PEQUENA,41500000,4,468
CONDOMINIO CENTENARIO PLAZA, 38.885.638/0001-20,,25/07/1990,8112500,Condomínios prediais,3085,Condomínio Edilício ,RUA,,FLORIDA,1970,,R FLORIDA 1970,CIDADE MONCOES,SAO PAULO,SP,4565001,11,55055270,11,55055969,ATIVA,1,PEQUENA,1900000,,
TREFILACAO UNIAO DE METAIS S A, 61.456.463/0001-57,,28/07/1966,2424502,Produção de relaminados| trefilados e perfilados de aço| exceto arames,2054,Sociedade Anônima Fechada ,PRACA,,COLINA,20,S BERNARDO DO CAMPO,PC COLINA 20 S BERNARDO DO CAMPO,ASSUNCAO,SAO BERNARDO DO CAMPO,SP,9810100,11,43515822,11,43445622,ATIVA,1,GRANDE,41500000,2,165
PATO BRANCO ALIMENTOS LTDA, 02.570.953/0001-10,SUPERMERCADO PATO BRANCO,21/05/1998,4639701,Comércio atacadista de produtos alimentícios em geral,2062,Sociedade Empresária Limitada ,AVENIDA,,MARQUES HENRIQUE,351,,AV MARQUES HENRIQUE 351,CENTRO,VILHENA,RO,76980000,69,21010100,69,999768923,ATIVA,1,GRANDE,120000000,3,527
ASSOCIACAO DOS LOJISTAS DO RONDON PLAZA SHOPPING, 04.499.099/0001-79,ASSOCIACAO DOS LOJISTAS DO RONDON PLAZA SHOPPING,25/05/2001,9430800,Atividades de associações de defesa de direitos sociais,3999,Associação Privada,AVENIDA,,ADEMAR CANDIDO COSTA,1,950,AV ADEMAR CANDIDO COSTA 1 950,LA SALLE II,RONDONOPOLIS,MT,78710129,66,996006494,,,ATIVA,1,PEQUENA,1350000,1,2
CONDOMINIO CENTRO TEXTIL INTERNACIONAL, 01.147.000/0001-81,,21/03/1996,8112500,Condomínios prediais,3085,Condomínio Edilício ,AVENIDA,ENGENHEIRO,ROBERTO ZUCCOLO,555,,AV ENG ROBERTO ZUCCOLO 555,JARDIM HUMAITA,SAO PAULO,SP,5307190,11,38397022,11,21177213,ATIVA,1,MÉDIA,1350000,,29
LAHUMAN INDUSTRIA E COMERCIO DE PLASTICOS LIMITADA, 61.863.130/0001-42,,29/02/1972,1323500,Tecelagem de fios de fibras artificiais e sintéticas,2062,Sociedade Empresária Limitada ,RUA,,FIORAVANTE MANCINO,156,KM 2 Q N LT 43,R FIORAVANTE MANCINO 156 KM 2 Q N LT 43,CHACARA MONTE ALEGRE,SUMARE,SP,13175575,19,38731401,19,38039070,ATIVA,1,GRANDE,41500000,2,373
PHILCO ELETRONICOS SA, 11.283.356/0001-04,,26/10/2009,2759799,Fabricação de outros aparelhos eletrodomésticos não especificados anteriormente| peças e acessórios,2054,Sociedade Anônima Fechada ,AVENIDA,NOSSA SENHORA,DA LUZ,1330,,AVENIDA NOSSA SENHORA DA LUZ 1330,JARDIM SOCIAL,CURITIBA,PR,82520060,41,32187700,41,32187760,ATIVA,1,GRANDE,1500000000,6,
WTEC MOVEIS E EQUIPAMENTOS TECNICOS LTDA, 05.634.834/0001-72,,09/04/2003,3102100,Fabricação de móveis com predominância de metal,2062,Sociedade Empresária Limitada ,RUA,,SALOMAO IOSCHPE,267,,R SALOMAO IOSCHPE 267,INDUSTRIAL,ERECHIM,RS,99706532,54,35224344,54,21062166,ATIVA,1,GRANDE,17230000,2,424
GRACIOSA COUNTRY CLUB, 76.590.306/0001-07,GRACIOSA COUNTRY CLUB,14/07/1927,9312300,Clubes sociais| esportivos e similares,3999,Associação Privada,AVENIDA,,MUNHOZ DA ROCHA,1146,TERREO,MUNHOZ DA ROCHA,CABRAL,CURITIBA,PR,80035000,41,30155005,41,30251338,ATIVA,1,MÉDIA,7500000,2,476
INDUSTRIA DE LATICINIOS DOM MIRO LTDA, 30.786.393/0001-71,LATICINIOS DOM MIRO,26/06/2018,1052000,Fabricação de laticínios,2062,Sociedade Empresária Limitada ,RUA,,RAIMUNDO LISOT SOBRINHO,130,SALA 02,R RAIMUNDO LISOT SOBRINHO 130 SALA 02,LINHA BONITA,DOUTOR RICARDO,RS,95967000,51,992500383,54,999160989,ATIVA,1,PEQUENA,4250000,2,16
ELETRO INDUSTRIAL LTDA, 05.409.888/0002-15,,24/09/2012,2532201,Produção de artefatos estampados de metal,2062,Sociedade Empresária Limitada ,RUA,,ITAJAI,1030,,RUA ITAJAI 1030,LIMOEIRO,BRUSQUE,SC,88356305,19,38815011,,,ATIVA,1,MÉDIA,22400000,3,174
ZINHO INDUSTRIA E COMERCIO DE ALIMENTOS LTDA, 06.268.413/0001-38,,19/05/2004,1091101,Fabricação de produtos de panificação industrial,2062,Sociedade Empresária Limitada ,RUA,,MARCELO PINTO DE MORAES,105,,R MARCELO PINTO DE MORAES 105,PARQUE INDUSTRIAL AVELINO ALVES PALMA,RIBEIRAO PRETO,SP,14077440,16,35146715,16,997385438,ATIVA,1,GRANDE,90000000,2,794
CAL-COMP INDUSTRIA E COMERCIO DE ELETRONICOS E INFORMATICA LTDA., 07.200.194/0001-18,,04/02/2005,2610800,Fabricação de componentes eletrônicos,2062,Sociedade Empresária Limitada ,AVENIDA,,TORQUATO TAPAJOS,7503,GALPAO 1,AV TORQUATO TAPAJOS 7503 GALPAO 1,TARUMA,MANAUS,AM,69041025,92,21259950,92,33073613,ATIVA,1,GRANDE,1500000000,3,2641
PLASTOW INDUSTRIA E COMERCIO DE PLASTICOS LTDA, 06.021.009/0001-65,,14/11/2003,2222600,Fabricação de embalagens de material plástico,2062,Sociedade Empresária Limitada ,AVENIDA,,GIOVANNI GABRIELLI,303,,AV GIOVANNI GABRIELLI 303,LARANJEIRAS,CAIEIRAS,SP,7747200,11,941722227,11,996421329,ATIVA,1,MÉDIA,3800000,5,135
FOLEM INDUSTRIA E COMERCIO S/A, 03.498.116/0001-90,,11/11/1999,1013902,Preparação de subprodutos do abate,2054,Sociedade Anônima Fechada ,LINHA ,,MATA FOME KM 01,,MATA FOME KM 1,MATA FOME KM 01,INTERIOR,ENEAS MARQUES,PR,85630000,46,35442000,46,35442026,ATIVA,1,GRANDE,120000000,4,426
ASSOCIACAO EVANGELICA BENEFICENTE ESPIRITO-SANTENSE - AEBES, 28.127.926/0001-61,HOSPITAL EVANGELICO DE VILA VELHA,05/08/1966,8610101,Atividades de atendimento hospitalar| exceto pronto-socorro e unidades para atendimento a urgências,3999,Associação Privada,RUA,,VENUS,,R GAROTO,R VENUS SN R GAROTO,ALECRIM,VILA VELHA,ES,29118060,27,30254347,27,30254345,ATIVA,1,GRANDE,340000000,7,2758
NATULAB LABORATORIO S.A, 02.456.955/0001-83,NATULAB MEDICAMENTOS,30/03/1998,2121101,Fabricação de medicamentos alopáticos para uso humano,2054,Sociedade Anônima Fechada ,RUA,,H,2,GALPAOIII,RUA RH 02 GALPAOIII,URBIS II,SANTO ANTONIO DE JESUS,BA,44574150,11,942789623,11,968569338,ATIVA,1,GRANDE,340000000,4,1279
VALVERDE INDUSTRIA E TRANSPORTES LTDA, 25.474.875/0001-56,,03/11/1988,3101200,Fabricação de móveis com predominância de madeira,2062,Sociedade Empresária Limitada ,RUA,,ANGELO SPERANDIO,58,,R ANGELO SPERANDIO 58,CPO DE AVIACAO,UBA,MG,36500000,32,984324241,32,984045987,ATIVA,1,MÉDIA,17230000,3,499
ST FLEX EMBALAGENS FLEXIVEIS EIRELI, 62.877.956/0001-23,,07/05/1990,2222600,Fabricação de embalagens de material plástico,2305,Empresa individual de responsabilidade limitada (de Natureza Empresária),RUA,,LICATEM,395,KM 201-A - VIA DUTRA,LICATEM,POLO INDUSTRIAL DE ARUJA,ARUJA,SP,7400000,11,46542197,11,999159294,ATIVA,1,GRANDE,22400000,1,179
TOP CAU INDUSTRIA E COMERCIO DE CHOCOLATES LTDA, 00.132.010/0001-80,TOP CAU,19/07/1994,1093701,Fabricação de produtos derivados do cacau e de chocolates,2062,Sociedade Empresária Limitada ,RUA,,SILVA TELES,821,,R SILVA TELES 821,PARI,SAO PAULO,SP,3026001,11,21723500,11,966921269,ATIVA,1,GRANDE,90000000,4,2886
LATICINIOS CATUPIRY LTDA, 61.087.367/0001-89,,01/06/1966,4631100,Comércio atacadista de leite e laticínios,2062,Sociedade Empresária Limitada ,RUA,,REIMS,112,118,RUA REIMS 112       118,JARDIM DAS LARANJEIRAS,SAO PAULO,SP,2517010,17,997810440,11,973107703,ATIVA,1,GRANDE,340000000,22,583
GRAFICA E EDITORA SARAPUI LTDA, 63.106.249/0001-04,,18/05/1971,1732000,Fabricação de embalagens de cartolina e papel-cartão,2062,Sociedade Empresária Limitada ,AVENIDA,,RAGUEB CHOHFI,1600,,AV RAGUEB CHOHFI 1600,JD TRES MARIAS,SAO PAULO,SP,8375000,11,934277679,11,934277204,ATIVA,1,GRANDE,56700000,4,350
UNIMED SJRPRETO COOPERATIVA DE TRABALHO MEDICO, 45.100.138/0001-09,UNIMED SJRPRETO,13/06/1972,6550200,Planos de saúde,2143,Cooperativa ,AVENIDA,,BADY BASSITT,3877,,AV BADY BASSITT 3877,CENTRO,SAO JOSE DO RIO PRETO,SP,15015700,17,32021268,17,32021266,ATIVA,1,GRANDE,750000000,8,763
AIRO INDUSTRIA E COMERCIO DE EMBALAGENS EIRELI, 10.305.157/0001-89,,11/07/2008,2222600,Fabricação de embalagens de material plástico,2305,Empresa individual de responsabilidade limitada (de Natureza Empresária),RUA,,JOSE DE ALENCAR,136,,R JOSE DE ALENCAR 136,BRAS,SAO PAULO,SP,3052020,11,32143469,11,20811382,ATIVA,1,MICRO,1650000,1,132
PLENA ALIMENTOS S/A , 10.198.974/0008-51,PLENA ALIMENTOS,18/05/2011,1011201,Frigorífico - abate de bovinos,2054,Sociedade Anônima Fechada ,RODOVIA,,GO 244 Q,,KM 123 AREA,ROD GO 244 Q KM 123 AREA,PORANGATU,PORANGATU,GO,76550000,62,33723761,62,33731097,ATIVA,0,GRANDE,1500000000,4,507
PASSO FUNDO SHOPPING EMPREENDIMENTOS S.A., 20.220.538/0001-19,,14/03/2014,4110700,Incorporação de empreendimentos imobiliários,2054,Sociedade Anônima Fechada ,AVENIDA,PRESIDENTE,VARGAS,1610,,AVENIDA PRESIDENTE VARGAS 1610,VILA RODRIGUES,PASSO FUNDO,RS,99070000,54,999029175,54,999461857,ATIVA,1,GRANDE,8900000,5,15
NOVACKI PAPEL E EMBALAGENS S.A., 13.987.350/0001-35,,08/07/2011,1721400,Fabricação de papel,2054,Sociedade Anônima Fechada ,AVENIDA,DOUTOR,HUGO BEOLCHI,445,CONJ 92 ANDAR 9,DOUTOR HUGO BEOLCHI,VILA GUARANI (Z SUL),SAO PAULO,SP,4310030,19,971486502,19,971486650,ATIVA,1,GRANDE,236000000,2,2
CONDOMINIO ARMAZENNA SUAPE, 24.188.387/0001-10,,02/02/2016,8112500,Condomínios prediais,3085,Condomínio Edilício ,RODOVIA,,BR-101 101,3791,,RODOVIA BR-101 SUL 3791,CENTRO,CABO DE SANTO AGOSTINHO,PE,54510000,81,999206242,,,ATIVA,1,PEQUENA,1650000,,
FITECA - FIACAO E TECELAGEM ARACAI LTDA, 09.176.087/0001-27,FITECA,27/08/2007,1321900,Tecelagem de fios de algodão,2062,Sociedade Empresária Limitada ,PRACA,,VIRGILATO COELHO,28,BRANCO,PC VIRGILATO COELHO 28 BRANCO,CENTRO,ARACAI,MG,35777000,31,971241036,31,995083642,ATIVA,1,MÉDIA,17230000,5,213
RIO VERDE ARMAZENAGEM EIRELI, 14.300.733/0001-56,,15/09/2011,4634603,Comércio atacadista de pescados e frutos do mar,2305,Empresa individual de responsabilidade limitada (de Natureza Empresária),RUA,,CURITIBA,457,FU,R CURITIBA 457 FU,REALENGO,RIO DE JANEIRO,RJ,21730240,21,34629179,21,34649505,ATIVA,1,MÉDIA,12125000,1,45
CONDOMINIO PANAMERICA PARK, 04.406.405/0001-85,CONDOMINIO PANAMERICA PARK,24/04/2001,8112500,Condomínios prediais,3085,Condomínio Edilício ,AVENIDA,,GUIDO CALOI,1000,,AV GUIDO CALOI 1000,JARDIM SAO LUIS,SAO PAULO,SP,5802140,11,35047151,11,35047123,ATIVA,1,MÉDIA,17230000,,10
RECICLA BRASIL LTDA, 04.056.176/0001-16,,05/09/2000,3832700,Recuperação de materiais plásticos,2062,Sociedade Empresária Limitada ,RODOVIA,,BR 116,,KM 52,ROD BR 116 KM 52,PRQ INDUST I,PAPANDUVA,SC,89370000,47,991692805,47,36540221,ATIVA,1,MÉDIA,2600000,2,129
ACE SCHMERSAL ELETROELETRONICA INDUSTRIAL LTDA, 61.854.147/0001-33,,24/01/1968,2790299,Fabricação de outros equipamentos e aparelhos elétricos não especificados anteriormente,2062,Sociedade Empresária Limitada ,AVENIDA,,BRASIL,815,,AV BRASIL 815 GALPAO,JD ESPLANADA,BOITUVA,SP,18550000,15,32639918,15,32639924,ATIVA,1,GRANDE,120000000,3,646
RODOPOSTO RUBI LTDA, 64.622.699/0001-04,,01/10/1990,4731800,Comércio varejista de combustíveis para veículos automotores,2062,Sociedade Empresária Limitada ,RODOVIA,,WASHINGTON LUIZ,,KM 220,ROD WASHINGTON LUIZ KM 220,JARDIM GUANABARA,SAO CARLOS,SP,13565800,16,33733133,16,21064235,ATIVA,1,MÉDIA,6250000,14,237
MIRVI BRASIL LTDA., 03.529.311/0001-30,MIRVI BRASIL LTDA.,29/10/1999,2222600,Fabricação de embalagens de material plástico,2062,Sociedade Empresária Limitada ,RODOVIA,,DOM GABRIEL PAULINO BUENO COUTO,,,ROD DOM GABRIEL PAULINO BUENO COUTO KM 81,JACARE E CAI,CABREUVA,SP,13315000,11,995132127,11,943766476,ATIVA,1,GRANDE,172000000,3,400
VEGAS PLASTIC LTDA, 06.233.590/0001-89,VEGAS PLASTIC,28/04/2004,2229399,Fabricação de artefatos de material plástico para outros usos não especificados anteriormente,2062,Sociedade Empresária Limitada ,AVENIDA,,JURACY RIBEIRO MACHADO,100,,AV JURACY RIBEIRO MACHADO 100,DISTRITO INDUSTRIAL,TUPACIGUARA,MG,38430000,21,986969778,34,32129394,ATIVA,1,PEQUENA,1900000,2,151
TETRA PAK LTDA, 61.528.030/0001-60,,12/08/1966,1731100,Fabricação de embalagens de papel,2062,Sociedade Empresária Limitada ,RODOVIA,,CAMPINAS CAPIVARI SN,,KM 23750,ROD CAMPINAS CAPIVARI SN KM 23750,CHAPEU DE SOL,MONTE MOR,SP,13190000,11,55013311,11,55013200,ATIVA,1,MÉDIA,12125000,6,1469
GFG COSMETICOS LTDA, 55.572.044/0001-88,GFG COSMETICOS,01/04/1986,2063100,Fabricação de cosméticos| produtos de perfumaria e de higiene pessoal,2062,Sociedade Empresária Limitada ,RUA,,FORTE DO RIO BRANCO,854,P 5 E 6 1 2 5 E 6 GALPAO,R FORTE DO RIO BRANCO 854 P 5 E 6 1 2 5 E 6 GALPAO,PRQ S LOURENCO,SAO PAULO,SP,8340140,11,28482444,11,20101900,ATIVA,1,MÉDIA,12125000,3,853
HACO ETIQUETAS LTDA, 82.645.862/0001-36,,21/09/1966,1359600,Fabricação de outros produtos têxteis não especificados anteriormente,2062,Sociedade Empresária Limitada ,RUA,,HENRIQUE CONRAD,595,CAIXA POSTAL 84,HENRIQUE CONRAD,VL ITOUPAVA,BLUMENAU,SC,89095300,47,992157289,47,992155721,ATIVA,1,GRANDE,120000000,4,2019
HORTUS COMERCIO DE ALIMENTOS S.A., 09.000.493/0002-15,,04/09/2017,8211300,Serviços combinados de escritório e apoio administrativo,2054,Sociedade Anônima Fechada ,AVENIDA,,MANUEL BANDEIRA,291,CJ 31 33 34 BL D,AV MANUEL BANDEIRA 291 CJ 31 33 34 BL D,VILA LEOPOLDINA,SAO PAULO,SP,5317020,11,38336000,,,ATIVA,1,GRANDE,120000000,6,81
CHARQUE 500 INDUSTRIA E COMERCIO LTDA, 36.492.502/0001-24,,25/04/1991,1013901,Fabricação de produtos de carne,2062,Sociedade Empresária Limitada ,RUA,,JOAQUIM EUGENIO SANTOS,500,,JOAQUIM EUGENIO SANTOS,CENTRO,MARICA,RJ,24900000,21,26372326,21,26340753,ATIVA,1,GRANDE,120000000,2,819
PEDREIRAS CONTAGEM LTDA, 26.500.165/0001-16,,23/10/1990,810099,Extração e britamento de pedras e outros materiais para construção e beneficiamento associado,2062,Sociedade Empresária Limitada ,Rodovia,,DF-150,,DF -150,RODOVIA DF-150 S/N,SETOR HABITACIONAL CONTAGEM (SOBRADINHO),BRASILIA,DF,73090000,61,35013050,61,34598293,ATIVA,1,GRANDE,12125000,3,122
BROTO LEGAL ALIMENTOS S.A., 62.901.210/0001-08,,11/05/1990,4632001,Comércio atacadista de cereais e leguminosas beneficiados,2054,Sociedade Anônima Fechada ,RUA,,VICENTE PALOMBO,488,,R VICENTE PALOMBO 488,JARDIM CAMPINEIRO,CAMPINAS,SP,13082380,19,998866836,19,999211465,ATIVA,1,GRANDE,340000000,3,632
CORREIAS MERCURIO SA INDUSTRIA E COMERCIO, 50.937.564/0001-23,,28/07/1966,2219600,Fabricação de artefatos de borracha não especificados anteriormente,2054,Sociedade Anônima Fechada ,RUA,,JOSE SPINA,10,VL JUNDIAINOPOLIS,R JOSE SPINA 10 VL JUNDIAINOPOLIS,VILA NOVA JUNDIAINOPOLIS,JUNDIAI,SP,13210780,94,991589848,94,991150307,ATIVA,1,GRANDE,236000000,6,1032
LUMICENTER SISTEMAS ELETRONICOS DE ILUMINACAO LTDA., 78.331.899/0001-12,LUMICENTER,06/03/1980,2740602,Fabricação de luminárias e outros equipamentos de iluminação,2062,Sociedade Empresária Limitada ,RUA,,SALOMAO MIGUEL NASSER,1200,,SALOMAO MIGUEL NASSER,GUATUPE,SAO JOSE DOS PINHAIS,PR,83060230,41,992903337,41,992570456,ATIVA,1,GRANDE,72000000,4,1404
REFRIGERANTES CONVENCAO RIO LTDA, 28.293.066/0001-36,,15/06/1983,1122401,Fabricação de refrigerantes,2062,Sociedade Empresária Limitada ,AVENIDA,,BRASIL,44148,LOTEAMENTO 36939 QL 3,AV BRASIL 44148 LOTEAMENTO 36939 QL 3,CAMPO GRANDE,RIO DE JANEIRO,RJ,23078001,21,35263900,21,35759423,ATIVA,1,GRANDE,41500000,3,1004
